code,xtp_prefix,rows,first_date,last_date,file,blocks
002536,33,3731,2011-01-11,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\002536.csv,液冷
603757,17,2170,2017-07-11,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\603757.csv,液冷
301018,33,1199,2021-07-07,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\301018.csv,液冷
300727,33,2076,2017-11-27,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\300727.csv,液冷
300037,33,3902,2010-01-08,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\300037.csv,液冷
603650,17,1935,2018-06-27,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\603650.csv,液冷|材料
301086,33,1131,2021-10-20,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\301086.csv,液冷
600160,17,6667,1998-06-26,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\600160.csv,液冷
300442,33,2694,2015-04-24,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\300442.csv,算力租赁
600589,17,5864,2001-06-12,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\600589.csv,算力租赁
001339,33,930,2022-08-15,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\001339.csv,算力租赁
603881,17,2272,2017-02-08,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\603881.csv,算力租赁
603629,17,1813,2018-12-24,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\603629.csv,算力租赁
603019,17,2796,2014-11-06,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\603019.csv,算力租赁
002335,33,3865,2010-01-13,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\002335.csv,算力租赁
002261,33,4172,2008-07-23,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\002261.csv,算力租赁
300738,33,2038,2018-01-19,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\300738.csv,算力租赁
000815,33,6347,1998-06-09,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\000815.csv,算力租赁
605358,17,1395,2020-09-11,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\605358.csv,材料
688432,17,873,2022-11-10,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\688432.csv,材料
600438,17,5206,2004-03-02,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\600438.csv,材料
600641,17,7762,1993-04-07,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\600641.csv,材料
003026,33,1331,2020-12-18,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\003026.csv,材料
688126,17,1484,2020-04-20,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\688126.csv,材料
688303,17,1188,2021-07-22,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\688303.csv,材料
688234,17,1072,2022-01-12,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\688234.csv,材料
600206,17,6468,1999-03-19,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\600206.csv,材料
300475,33,2649,2015-06-10,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\300475.csv,三星海力合作
600667,17,7736,1993-07-28,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\600667.csv,三星海力合作
300142,33,3513,2010-11-12,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\300142.csv,医药创新药
688136,17,1335,2020-12-14,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\688136.csv,医药创新药
688091,17,1153,2021-09-09,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\688091.csv,医药创新药
688443,17,725,2023-06-20,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\688443.csv,医药创新药
